codgeo;libgeo;p21_pop
45036;Boismorand;847
10212;Machy;111
38017;Assieu;1681
01107;Cleyzieu;140
40125;Heugas;1375
42105;Grézieux-le-Fromental;253
2B147;Lozzi;111
40133;Labenne;7007
78455;Noisy-le-Roi;7631
31326;Massabrac;109
21369;Magny-Saint-Médard;325
28276;Neuvy-en-Beauce;204
59565;Sepmeries;649
71411;Saint-Eugène;151
95424;Montigny-lès-Cormeilles;22603
17231;Messac;105
09042;La Bastide-de-Sérou;985
76553;Sainte-Agathe-d'Aliermont;300
25184;Cuse-et-Adrisans;285
86113;Iteuil;2981
28351;Saint-Maixme-Hauterive;399
21028;Athée;787
05081;Montclus;48
21323;Jancigny;148
08010;Ambly-Fleury;135
85139;Le Mazeau;448
39545;Le Vaudioux;168
62308;Escoeuilles;489
14603;Saint-Laurent-de-Condel;509
60019;Antheuil-Portes;413
34161;Montady;4005
29061;Gouesnou;6347
72333;Semur-en-Vallon;433
23110;Lioux-les-Monges;58
82125;Montech;6650
92032;Fontenay-aux-Roses;24772
86269;Ternay;189
29079;Henvic;1210
70146;Chaux-lès-Port;164
29289;Trégarvan;119
41267;Vallières-les-Grandes;939
50292;Marigny;2746
31149;Colomiers;40159
50579;Sottevast;1447
24341;Proissans;1071
24286;Montagrier;501
14104;Le Brévedent;191
50152;Les Cresnays;228
30224;La Rouvière;635
77008;Armentières-en-Brie;1205
57456;Meisenthal;652
70417;Pontcey;292
64463;Rébénacq;647
64530;Susmiou;355
38484;Serpaize;2108
56120;Locqueltas;1954
70529;Velet;377
95120;Butry-sur-Oise;2254
74030;La Baume;321
67543;Wisches;2073
03281;Le Theil;389
28234;Marchéville;491
69136;Montagny;3200
88236;La Haye;133
17096;Chaunac;74
47217;Puymirol;905
63460;Villosanges;370
76155;Canehan;381
45120;Dammarie-en-Puisaye;170
45260;Ramoulu;246
82031;Castelmayran;1201
26312;Saint-Marcel-lès-Sauzet;1250
89032;Beauvilliers;68
28290;Orrouer;281
91477;Palaiseau;34893
45099;Coinces;494
14711;Trévières;920
59397;Merckeghem;614
77228;Hondevilliers;259
55018;Autréville-Saint-Lambert;37
12124;Lassouts;318
54421;Petitmont;310
26145;Les Granges-Gontardes;679
07157;Meysse;1394
67552;Wolfskirchen;344
29257;Saint-Pabu;2067
79007;Allonne;634
30026;Avèze;1063
40103;Gaillères;640
14308;Goustranville;311
15114;Marcenat;511
15008;Antignac;283
15106;Lieutadès;166
67159;Goerlingen;199
21395;Massingy-lès-Vitteaux;91
14735;Vendeuvre;805
58068;Chaumard;200
91136;Champlan;2597
94001;Ablon-sur-Seine;5946
44104;Montrelais;827
77004;Andrezel;311
17482;Vouhé;641
60221;Esquennoy;727
61443;Saint-Paul;673
57110;Brettnach;426
50169;Écausseville;109
31056;Beauzelle;7656
25628;Villers-sous-Montrond;
56049;Croixanvec;
21010;Aloxe-Corton;134
2B166;Monte;630
63290;Pulvérières;399
67306;Muhlbach-sur-Bruche;643
27382;Mandeville;331
03059;Chareil-Cintrat;376
22299;Saint-Hélen;1531
01214;Leyssard;163
68088;Feldkirch;1000
42026;Briennon;1724
82176;La Salvetat-Belmontet;931
63463;Viscomtat;505
35229;Pocé-les-Bois;1322
52529;Villegusien-le-Lac;987
80811;Voyennes;589
43005;Alleyras;153
06072;Ilonse;142
76605;Sainte-Marguerite-sur-Mer;464
62593;Morval;88
12140;Martiel;969
63436;Tralaigues;75
55107;Chaumont-devant-Damvillers;47
45037;Boisseaux;511
11017;Artigues;74
28014;Aunay-sous-Crécy;672
09250;Roquefort-les-Cascades;86
2B082;Castineta;37
57092;Blies-Ébersing;603
51288;Heiltz-le-Hutier;236
92025;Colombes;88870
76425;Mentheville;298
40317;Tosse;3348
21485;Plombières-lès-Dijon;2518
11242;Montclar;173
